gene,T,R
S100A5,0.527631929,0.243982874
S100A6,0.691218778,0.307625978
SCN4A,0.919060165,0.010014011
ICAM2,0.759808977,-0.2653789
MAPK7,1.18362689,0.029890252
EPN2,0.988514449,-0.24906384
B9D1,0.7874887359999999,-0.185778766
SEC24B,1.015290362,-0.174627656
N4BP3,1.076129264,0.055096063
RMND5B,0.8905007229999999,0.006087058
NHP2,0.790516793,0.322369578
ZNF276,0.971188112,0.008292241
MFSD10,1.121294578,-0.1170311219999999
LUZP1,0.582980656,0.359604422
SLC13A2,0.8149491209999999,-0.19858261
KCTD10,1.083903012,-0.1148481
POLDIP2,0.864057892,0.013984783
SEBOX,0.6850659090000001,-0.17474143
IFT20,0.353593851,0.09703031
COL6A1,0.992342378,0.0557889929999999
PCBP3,1.169613942,-0.077794403
LGALS9,1.0105111409999998,0.071990004
ARAF,0.931573516,-0.315345088
CFP,1.103307931,0.0909695419999999
TIMP1,0.760545308,0.486566476
UXT,0.7204381759999999,0.188929061
CNNM3,1.090662741,-0.1332261019999999
LMAN2L,0.7973770020000001,-0.26845707
MCM3AP,0.677358205,-0.2045216989999999
PCNT,0.656963789,-0.368226436
FTCD,0.88501315,-0.066894423
MXD1,0.898461628,0.33900819
GMCL1,0.2603619,0.016706041
SNRNP27,0.618088698,0.334580627
OASL2P,0.93669113,0.144738323
OAS1,0.93669113,0.144738323
OCRL,0.222281315,0.014400081
CALM1,0.5062031220000001,0.352574571
AGPAT3,1.1107250640000002,-0.033876956
SLC26A3,0.5143248229999999,0.0311501039999999
SEMA6B,1.015412706,0.238668536
UHRF1,0.7470965970000001,0.18107968
DPP9,1.055310032,-0.217481976
RAMP2,1.074941112,-0.07469473
LSR,1.1190178,-0.099837715
GRAMD1A,1.117106194,-0.110204805
HPN,0.79252627,-0.329971238
GABRG1,0.7204828659999999,-0.0073562019999999
CKB,1.062972595,-0.149691352
CHKB,1.062972595,-0.149691352
SP1,0.70331432,-0.353697789
ITGB7,0.8079411129999999,0.109996428
C12orf10,0.890436681,-0.024794862
RARG,1.072839803,-0.208485626
PFDN5,0.578997686,0.275036635
EFNB2,0.8334530590000001,-0.3128079039999999
RRP15,0.50943092,0.406364385
RND2,1.002440181,-0.073289002
SRR,0.640422581,-0.13934621
SYNC,0.718585274,-0.266119043
FNDC5,0.890876098,0.021892125
ACP5,1.06342718,0.179366219
CNN1,0.669054586,-0.230355965
FBXO9,0.507290383,-0.209808991
APBB3,1.088867581,-0.123718655
HARS,0.563422506,0.435093826
ZMAT2,0.5132581589999999,0.266237971
UBE2C,0.7276586279999999,0.1084146719999999
SMG5,1.044918843,-0.011618896
CCT3,0.472424026,0.331393
RHBG,0.737994082,-0.435507745
MEF2D,1.16082696,-0.112652879
TMEM79,1.014971068,-0.222724034
SND1,0.969205484,-0.02853166
COL18A1,1.100991442,0.1724136839999999
SLC19A1,1.07530506,0.0015226839999999
KPNB1,0.490864972,0.334967867
NPEPPS,0.3998545089999999,-0.046782559
TBX21,1.009764535,-0.179721866
MRPL10,0.984550592,-0.1851479489999999
CYP51A1,0.316015107,0.119723367
TCF25,1.092497435,-0.1192061609999999
TUBB6,0.899351296,0.385665797
DEF8,1.080518948,0.106833476
MEOX1,0.885019267,-0.197751003
SOST,0.753493127,-0.083864278
NKX2-1,0.6711164890000001,-0.479696969
PAX9,0.904091245,-0.098143027
IRX2,0.737950758,-0.443451715
COL1A1,1.044815394,0.2256546739999999
ITGA3,1.150980858,0.078703997
SGCA,1.008561612,-0.068731903
DLX3,0.8331346629999999,0.287391431
FOXM1,1.018910226,-0.093904813
ITFG2,0.636902052,0.009290167
NRIP2,0.650491471,-0.20643421
TULP3,0.963623017,-0.171098444
GTF2H4,1.154494019,0.071767308
TUBB,0.851844666,0.239411252
ELL2,0.400763842,0.285458201
JUP,1.094126546,-0.196507944
FKBP6,1.106443427,0.136050385
FKBP10,1.106443427,0.136050385
KLHL10,0.550207374,-0.162877288
NOM1,0.5084297729999999,0.335341516
ERGIC1,1.102954866,0.090512546
TNK1,1.005623152,-0.162371021
ACAP1,1.059353297,0.0447023009999999
TCEA3,0.785481945,-0.4108416829999999
CSN3,0.757695392,0.006956672
COPS3,0.757695392,0.006956672
IFRD1,0.453191051,0.3491917229999999
STK38L,0.4341953979999999,0.317446609
BRPF1,1.150329903,0.053503694
AKR1B1,0.56599332,0.058312529
HOXC13,0.654503573,-0.005995961
HOXC8,0.831076169,-0.122575596
HOXC6,0.690445245,-0.1891240739999999
GSTT1,0.871674387,-0.318803236
DDT,1.115464575,-0.0466157809999999
TAT,0.615702595,0.222113158
MARVELD3,0.478446055,-0.114263605
DDX18,0.420802102,0.0824564709999999
UBL3,0.650633931,-0.174085397
GRAMD2B,0.397397257,0.2219001839999999
EEF1E1,0.4559975639999999,0.3398622189999999
AKT1,1.145662935,-0.022762149
CLDN15,0.914346471,-0.253665238
IL16,0.966556068,0.066735819
TCIRG1,1.129202825,0.09424853
NAGLU,1.117321847,-0.1026440519999999
PPAT,1.011392959,-0.19264321
COASY,1.011392959,-0.19264321
SMO,0.986543799,-0.219605941
TSPAN33,0.786156893,-0.226394986
CRNKL1,0.256947547,0.092555281
RIN2,0.922257469,-0.256206184
RABGEF1,0.922257469,-0.256206184
FOLH1,0.573398843,0.311962911
CHORDC1,0.270124421,0.069435453
PWP1,0.606051259,0.317148062
FBXO7,1.059925594,0.054681451
CAPNS1,1.071439018,-0.046192649
LRP3,1.10970234,-0.101557292
FOLR1,0.62187517,-0.217844255
CLPB,0.81203768,-0.114257213
ZDHHC4,1.154465488,0.040123042
RAC1,0.648982498,0.116036187
NUP214,1.118728502,-0.065131125
AIF1L,1.018390912,-0.061918767
CPA3,0.498826456,-0.099529904
LTBP1,0.389325527,0.111188228
UGP2,0.346205377,0.183974406
KCNH6,0.916025751,0.130392725
TRMT1,1.155776103,-0.0834439459999999
TRMU,1.155776103,-0.0834439459999999
NACC1,1.102097004,-0.140991061
NFIX,1.009587553,-0.250721065
SLC1A7,0.975980719,-0.279116847
SLC1A5,0.975980719,-0.279116847
UBA1,0.900257566,0.3364228379999999
VWF,0.944000352,0.030129184
SIAE,0.545007961,-0.257068069
VSIG2,0.80988891,-0.3750287329999999
ESAM,1.115302018,-0.128464162
SPA17,0.374176096,-0.2058622389999999
FAM50A,0.7837641,0.4245560329999999
EMD,0.739491041,-0.141423718
TACO1,0.862120787,-0.0962118969999999
GRIK3,0.783559025,-0.04371518
GRIA3,0.412736835,-0.010675877
NPAS1,0.76017844,0.017675449
SIPA1L2,1.130094805,-0.103828873
AP4E1,0.296140492,-0.01912902
BLVRA,0.521970599,0.377247761
PDZD4,0.6285137789999999,-0.01319445
SRPK3,0.7644334840000001,-0.200889178
IDH3G,0.4249289329999999,-0.106996499
PNCK,0.6834891809999999,-0.363987409
SSR4,0.616295857,0.304090168
BCAP31,0.2514701589999999,0.05587212
FAM98A,0.4030798989999999,0.288641087
LTBP2,1.086965697,-0.106155275
LTBP3,1.086965697,-0.106155275
IFT46,0.499409494,-0.203079979
TMEM25,0.832943179,-0.3976660629999999
CD3G,0.6074676999999999,-0.152163256
TRAPPC6A,1.137447867,-0.092966723
SPAG5,0.471780004,0.060309717
FOXN1,0.802301258,0.328916956
FOXN2,0.802301258,0.328916956
UNC119,1.114861978,-0.119255305
RAB34,0.699515523,-0.159672772
SDF2,0.565270343,0.406261706
CCNE1,0.7067705940000001,0.497882766
HSF2BP,0.703812604,-0.104020591
BBC3,1.09118467,-0.12507944
MYBPC3,0.811255429,0.134090618
PSMC3,0.6378408,0.4216980979999999
ACP2,0.74850002,0.24998503
RAPSN,1.049166787,-0.01995321
SLC39A13,1.033730045,-0.197335365
CELF2,0.538061252,0.223600373
NR1H3,1.114393605,0.109851619
DDB2,0.499197744,-0.183184935
SF3A1,1.117878383,0.013761974
STAT6,1.088301542,-0.1802096989999999
CLGN,0.61605018,0.278677344
NAPSA,0.8485505529999999,-0.377453246
VRK3,1.040887875,-0.176946861
PAXIP1,0.6890947279999999,-0.425243192
RMND5A,0.254244861,0.036964155
MOV10,1.150128526,-0.021531854
PPM1J,0.971100382,0.2147571469999999
RHOC,0.941238223,0.338285301
TEAD3,1.109115421,-0.16917464
PPARD,1.165623343,-0.088247591
DEF6,0.757624031,0.37088742
PEG3,0.470329247,0.176060156
AGGF1,0.470329247,0.176060156
METRN,1.046131277,-0.047319897
LMF1,1.050972759,-0.221553801
CIAO3,0.975683332,-0.100449609
ANGPTL4,0.894511093,0.358027312
DBF4,0.383356506,0.251438424
DAXX,0.929310293,0.307806962
CD320,0.677578879,-0.2406612189999999
IPO4,1.068611057,0.104733015
TM9SF1,0.631201909,-0.17595829
REC8,0.8416861859999999,-0.356664222
IRF9,1.135092353,-0.064974769
GMPR2,0.466507957,0.2237726239999999
MDP1,0.416724415,0.147508471
DHRS1,1.136100143,-0.073421139
NCAN,0.510193247,-0.191186577
TMEM161A,1.107435922,-0.017874457
ARMC6,0.983666779,0.100901804
SLC25A42,1.109403376,-0.186068347
SNX9,0.704418199,0.3994173479999999
RANBP3,1.189298006,-0.001124561
NDUFA11,0.906489397,0.156250093
BMP8B,0.54428534,0.342533902
NR2F6,1.065743209,-0.1235172
USE1,0.8279976459999999,0.041255084
OCEL1,1.032167799,-0.196037082
DYRK1B,1.025091923,-0.263060198
BRAF,0.397164866,0.075808508
NDUFB2,0.557148037,0.196847193
HLTF,0.250010847,0.0121605469999999
PRPF6,0.7712869459999999,0.246880266
RGS19,1.016993005,0.1106532309999999
RGS20,0.539808386,-0.085742764
ABHD3,0.524662363,-0.284904332
SNRPD1,0.39559679,0.257397231
TCHP,0.7928467240000001,-0.123292744
TIAM1,0.673803706,-0.209639582
TSC2,1.011388123,-0.2407895169999999
RPL3L,0.7974907259999999,0.198528856
SLC9A3R2,1.047867132,-0.226208246
PUF60,1.144081165,-0.00866326
GOLGA2,0.6282044689999999,-0.066146742
UCK1,0.74180898,-0.331887554
SCIN,0.414233264,0.0606398509999999
IKZF4,0.951903224,-0.196354962
PON1,0.466417457,-0.304135611
AXL,1.016878234,0.180253773
TGFB1,1.132369497,0.064565425
CCDC97,1.170522362,-0.099167201
AKAP8L,0.660530457,-0.4186863179999999
SHH,0.4831114079999999,-0.330435167
PDCD2L,0.690460335,0.237285541
GTF2F1,0.784629995,0.472820398
CLPP,0.874095443,-0.123730655
ALKBH7,0.843357949,-0.209039581
PSPN,0.6846729559999999,0.221652195
DENND1C,1.162678773,-0.001060795
MED6,0.415197369,0.308028138
PRKD1,0.346410134,-0.119574366
LCP2,0.868048655,0.360438419
CSE1L,0.322158705,0.127629005
NAA20,0.600839373,0.472301941
PRKRA,0.257015446,0.036440713
FKBP7,0.380245752,0.232904668
PLEKHA3,0.3437906429999999,0.0030163409999999
YKT6,0.77835631,0.390597972
BAZ1B,0.553368042,0.181973004
PEX6,0.942164137,-0.27111348
MRPL2,0.92771494,0.292868673
MEA1,1.035308767,-0.068715435
GNMT,1.0129702740000002,-0.185410398
GRIN2D,0.795775673,-0.393223531
KDELR1,0.8957099079999999,-0.371633899
TMEM143,0.997454775,-0.2490225089999999
GGCT,0.443973291,0.323923177
JAG2,1.04575721,-0.059350605
BTBD6,1.020104706,-0.245668843
NUDT14,0.940468707,-0.227989611
EPDR1,0.4457491329999999,-0.2380806539999999
FLII,1.073586565,0.123736616
TOP3A,0.712038992,0.34358969
ATG4D,1.1178723940000002,-0.134573946
QTRT1,1.071261569,0.220935683
PLIN4,0.724111518,0.022635386
CHAF1A,0.914881793,-0.034516173
ADPRH,1.124980443,0.051046463
TMEM39A,0.636075458,0.2195448189999999
PLA1A,0.721199193,0.50678582
LYPLA1,0.721199193,0.50678582
MCM2,0.851667197,0.0022086479999999
TPRA1,1.06228277,-0.232883568
NAB1,0.329081224,0.149474786
IL17RA,0.985814425,0.337935855
LAMB1,0.842747299,0.111801686
KCNN1,0.94882282,-0.091391218
ARRDC2,1.070471243,-0.076067684
PPP1R2,0.7233982390000001,0.222085835
CD36,0.337867789,0.069376134
MAP2K7,1.103610729,-0.168949405
TIMM44,0.7114015640000001,0.256671036
AP2A2,0.86478501,0.0711215
PNKP,1.11435079,0.01163919
MED25,1.117657553,-0.157864226
MED9,1.117657553,-0.157864226
BCAM,0.956280095,-0.288039325
CLPTM1,1.031412185,-0.194618201
RELB,1.158044862,0.116925233
TOMM40,1.152285018,0.068024592
APOE,0.894310332,0.100470823
APOC2,0.73911701,0.105047288
HBP1,0.3487767429999999,0.054123735
PRKAR2B,0.256118941,0.012255971
CDKN1B,0.623279315,-0.362555199
KLF4,1.1460547,-0.036244526
AP1M1,1.12865411,-0.115608529
RAB8A,0.938851808,0.127243186
HMGN2,0.7124342370000001,0.010893291
FAM32A,0.967657457,-0.104913928
ELF3,1.013374492,-0.226937896
CYP2C8,0.8895745759999999,-0.033779926
STARD3NL,0.332392372,0.086905828
STK11,1.072879988,-0.114125641
ELF1,1.084853547,-0.174395018
EFNA2,1.084853547,-0.174395018
ATP5F1D,1.131490825,-0.122332068
PPP5C,0.964928626,-0.273003357
CDK12,0.525749441,0.048799808
LIPE,1.083747491,-0.01839114
PAFAH1B2,0.3049089769999999,0.168541412
TBC1D8,0.928539674,-0.2008051739999999
SLC2A3,0.640854595,0.331645342
FOXJ2,1.064575189,-0.226635311
SRI,0.301869344,0.11018531
DGCR2,1.069454911,-0.199802242
MICAL3,0.71932297,-0.017979251
IRF3,1.100664809,-0.0951261559999999
BCL2L12,1.13352911,-0.107032519
MPND,1.057307036,-0.15295402
PSMB6,1.057307036,-0.15295402
SH3GL1,1.15096591,-0.074871436
EBI3,1.122334457,0.070383083
RANBP2,0.341002839,0.207872876
EDAR,0.896289149,-0.145072156
GRK5,0.400672363,0.150059408
DVL3,1.017244381,-0.266739063
ABCF3,0.631669759,0.026817972
EIF2B5,0.595697681,0.322956442
CYTH2,0.970165035,-0.066579089
SULT2B1,0.957694804,-0.262040211
CA11,0.964754218,-0.239785496
DLGAP1,0.84539965,0.180387713
PLAG1,0.41587798,0.074859698
HCK,1.0054348709999998,0.270012239
MRPL4,1.156761287,-0.100182818
KEAP1,1.05279177,0.120276035
AP1M2,0.6826426259999999,-0.390443618
GLG1,0.77421294,-0.0643087879999999
ATP8B3,0.7024144059999999,-0.029702826
BTBD2,1.1254650940000002,-0.159146402
CSNK1G2,1.092330947,-0.15568551
MOB3A,1.13028018,0.026764161
CACNB3,1.041804462,-0.124711574
CCDC65,0.6044103120000001,-0.452219267
FKBP11,0.986162612,0.218927373
DDX23,0.681173803,0.061574837
PLD3,1.09959241,-0.127569488
GRIK5,1.054824844,-0.221933666
CD79A,0.949369555,-0.100840003
RABAC1,0.995807803,-0.249357529
ETV3,0.872511446,0.254471665
PRKCSH,1.0910320340000002,0.058265146
ELAVL3,0.668171481,0.128988786
RAB3B,0.8839988059999999,-0.1762771239999999
ST8SIA6,0.481303212,-0.089294738
FCGRT,1.005872152,-0.218805171
NOSIP,1.015197477,0.02105781
PIH1D1,0.890754292,0.148401349
RPS11,0.409612724,0.232207241
DLL3,0.8184206759999999,0.2189063289999999
PAF1,0.946380657,-0.239168008
TIMM50,0.751383446,0.065779273
MED29,0.919348537,-0.084355739
BICD1,0.3487625579999999,0.140910952
NCSTN,1.066270194,-0.060713907
PEX19,1.097549975,-0.037635716
PHYHIP,1.12682462,-0.0252196279999999
CRHR2,0.910590581,-0.1358137519999999
INMT,0.834467581,-0.370299539
CYP4F2,0.789158844,0.4552035679999999
IMPDH1,1.087330543,-0.114652698
DUSP3,0.5696669520000001,0.153683203
PRODH,0.647707506,-0.220585171
SLC25A1,0.965591192,-0.289303915
DGCR6,0.75187753,0.178145937
DDR1,1.111384095,-0.131260274
IER3,0.995020927,0.20014586
FOSB,0.963492379,0.1169297719999999
KLC4,0.792872328,-0.212191007
ERCC1,1.157197883,-0.032624959
CYP17A1,0.91555889,0.092250706
AS3MT,0.428220473,0.161490517
HOMER3,1.039295428,-0.172539422
CRTC1,1.082688478,-0.190061726
RNF215,1.021258556,-0.077613044
SEC14L2,0.566295008,-0.143758853
AVEN,0.726432066,0.166182058
CP,0.5229584939999999,0.385667285
CROT,0.2919085919999999,0.05097221
RPS6KA1,1.035882196,-0.0926784
CALB2,0.651685215,-0.049977367
SNRNP200,0.5722830560000001,0.1766628089999999
CIAO1,1.0811406,-0.078357119
HAS1,0.971111653,0.29766966
TAF6L,1.150825896,0.042502272
INSIG2,0.285528877,0.045007778
KPNA6,0.835593648,-0.151302134
MAN1A1,0.334023823,-0.008142207
ITPKC,0.947282324,0.34230924
BRD8,0.44931653,-0.153165884
KIF20A,0.631491094,0.32650778
FARSA,0.982553977,0.276136201
FARSB,0.982553977,0.276136201
GCDH,0.8898622620000001,-0.131989259
MAST2,0.689031753,0.362104751
DNASE2,0.8129587709999999,0.210731171
RAD23A,1.091007922,-0.042084309
CALR,0.74199345,0.26027639
SYCE2,0.399879124,0.231470217
NFAT5,0.315087581,0.092180187
NOB1,0.7007112759999999,0.358288991
TBC1D1,0.7007112759999999,0.358288991
NQO1,0.653574223,0.132502852
PPFIA3,0.985280142,-0.0959479269999999
GYS1,0.959745887,-0.283189796
RUVBL2,0.908762746,-0.191751661
LIN7B,0.851687561,0.189050641
BAX,0.854103038,0.265822723
NKX3-1,0.854103038,0.265822723
IL7R,0.440970021,0.286191157
TFAM,0.471449806,-0.037756115
ZNF471,0.2723730139999999,0.096139928
EFNB3,0.997438532,0.056557299
MMD,0.618283499,-0.278745573
HLF,0.8625795940000001,-0.293142967
FAM162A,0.343518605,0.05778927
RPL8,1.073094079,0.067506494
GRM3,0.476191452,-0.176274473
SSBP2,0.4302319089999999,0.071677039
FANCL,0.25555887,0.037701901
GSTM3,0.4639816979999999,-0.0444220809999999
GSTM2,0.946808888,-0.085067088
STAT3,0.912236479,0.165499756
STAT5A,1.078247968,0.03917018
MAP3K11,1.113683451,-0.178850328
AKT2,1.066888545,0.004388411
DNAJA3,0.568022887,0.147694475
HMOX2,0.611968838,0.194067698
CWC15,0.50962805,0.169965206
COL5A3,0.919429452,0.092876213
DNMT1,0.750505601,0.057631564
PPAN,1.047567701,0.2067320369999999
ANGPTL2,0.833668854,-0.356259205
CACNA1E,0.677346792,-0.191427227
CACNA1B,0.709958133,-0.420435496
ETV1,0.7163287620000001,-0.375867877
KIFC2,0.899264315,-0.36707079
PSAP,0.996237865,0.1475763669999999
IKBKG,0.318400761,0.186998436
PAX2,0.873305477,0.172001144
WARS2,0.471895036,-0.195701348
ATN1,1.124770927,-0.164307928
PHB2,1.049931594,0.210833433
PTPN6,0.76328756,0.377200724
ENO2,0.886625587,-0.2952592739999999
EMG1,0.615870915,0.371896589
LPCAT3,0.675216477,0.098303328
ATP6V1F,1.000047403,0.028525112
IL12B,0.4352358129999999,0.258856441
CLCN5,0.4978054079999999,0.329411464
CLCN3,0.25655903,-0.040175007
HIF3A,0.839388613,0.106943084
GPX6,0.996091777,-0.11417929
PDE1C,0.410109827,-0.074022512
UTP20,0.506136703,0.329069359
SPIC,0.7719416990000001,0.311785781
KIAA0408,0.397235654,-0.281961198
CUL3,0.322390947,0.21420863
SST,0.838526296,0.037724472
IL11,1.046786348,0.14851841
DDX56,0.884369718,0.056162062
TMED4,0.790546583,-0.311437389
BID,0.680234015,0.477383083
RALB,0.819989958,0.44685746
PPP1CC,0.312320269,0.167321914
DNAJB11,0.509553047,0.369545014
TBCCD1,0.717166895,-0.081558198
CLEC11A,1.033296235,-0.087468013
ZNF324,0.611573049,-0.025428691
ZNF324B,0.611573049,-0.025428691
GAB2,0.912957119,0.353286005
CORO1C,0.8022444559999999,0.223891708
TAX1BP1,0.393089746,0.2868946539999999
CTSE,0.684943863,-0.327294061
NDRG2,0.885600912,-0.248669218
METTL17,1.148966106,-0.067579715
ARHGEF40,1.156544205,-0.075407918
PNPLA6,0.950834913,-0.301556131
MCOLN1,1.037102082,0.023380606
ARHGEF18,0.915690038,-0.292359047
PKN2,0.301191387,0.153539976
CD33,0.796331007,0.239230466
ETFB,0.7388863170000001,-0.050586808
NKG7,0.7188962659999999,-0.223831293
LHX5,0.782948855,0.2444497769999999
STXBP2,1.01210923,-0.182098098
PCP2,0.656133313,0.179797717
PTPRU,0.656133313,0.179797717
SGCE,0.920283134,-0.214906318
CHN2,0.5325614320000001,-0.057510409
WWOX,0.6956172359999999,-0.14503062
SLBP,0.582462481,0.267756349
TYR,0.492946107,0.0622418509999999
GHRHR,0.7493633909999999,-0.152939369
AQP1,1.104154805,-0.131864879
ARID3B,0.587454216,-0.215462422
CNN2,1.024950466,-0.2156211469999999
POLR2E,1.1026511,-0.088830954
ABCA13,0.439561765,0.175199076
MYO9B,1.118858921,0.05521736
HDAC9,0.586228899,-0.065798902
LY9,0.54003956,0.228930155
MTFP1,0.854843534,-0.242036485
RAB23,0.4138223929999999,0.116108263
RAB11A,0.3654027039999999,0.157495463
EIF2B2,0.919967885,0.135556287
DLST,0.96615924,0.025882159
PGF,0.8342545509999999,0.460245607
ULK2,0.957098133,-0.312987028
CCL24,0.8257227840000001,0.217791745
DGKD,1.004354178,0.035495063
DGKQ,1.004354178,0.035495063
GRAP,0.966806624,-0.156925125
POU1F1,0.640817606,-0.070159736
CHMP2B,0.287468881,0.129395231
PLOD3,1.097482545,0.019879671
AP1S1,1.084484473,0.028145784
MAPK13,0.750002834,-0.314846733
SRPK1,0.409296421,0.113146737
PAX3,0.654105875,-0.042244567
LBR,0.315002933,-0.036497783
CRABP2,0.796538748,0.207124375
NES,0.571228371,0.2982511989999999
BCAN,0.755270511,0.03970051
